,Std3,Std2,Mean2,Std1,PToP1,PToP4,PToP2,Std4,Kurtosis1,Kurtosis4
0,0.05050762722761054,0.0,1.0,10.240693485748595,45.0,54.0,0.0,8.78831674416567,-0.44868935757659,-0.4171389458313648
0,0.0,0.0,1.0,10.405480100802194,44.0,55.0,0.0,8.687801159193254,-0.4805998805257885,-0.4351207473099463
0,0.0,0.0,1.0,10.66943358318819,41.0,58.0,0.0,8.788797427837855,-0.5396802005532662,-0.323001271914785
0,0.05050762722761054,0.0,1.0,11.63167820825497,43.0,55.0,0.0,9.51646897722348,-0.4979502585420068,-0.3775119478718456
0,0.05050762722761054,0.0,1.0,12.412436664705334,42.0,58.0,0.0,10.336385155476908,-0.4820228909667783,-0.2608314429900025
0,15.884956039710255,4.286164115961692,5.0688775510204085,63.390182651080906,365.0,367.0,15.0,62.52382206897667,9.494019307033494,9.825322005179746
0,0.0,0.3064178594467401,1.1045918367346939,14.282460124432795,44.0,64.0,1.0,12.697701916407196,-0.4660479053094133,-0.3112511333415533
0,0.05050762722761054,0.0,1.0,14.452898240508667,45.0,63.0,0.0,13.137914870337964,-0.5076683663376782,-0.38423383675828937
0,0.0,0.0,1.0,14.515182984874803,46.0,64.0,0.0,13.770588124371827,-0.5331660395343425,-0.43897577087359263
0,0.05050762722761054,0.0,1.0,14.040394319045,44.0,63.0,0.0,13.84428489974857,-0.52377659009634,-0.5044101910581258
0,0.0,0.0,1.0,13.47948757022319,44.0,65.0,0.0,13.581898688011087,-0.5597534968447073,-0.48859431196562486
0,0.0,0.0,1.0,12.735081856057068,42.0,63.0,0.0,12.997014265649392,-0.5655200410568639,-0.45511731556170654
0,0.0,0.0,1.0,11.837500127111126,40.0,59.0,0.0,11.844332531271295,-0.571780047882978,-0.4426627442543425
0,0.0,0.0,1.0,11.071003680840072,37.0,62.0,0.0,10.98778556867197,-0.6160507563820641,-0.3856699666005907
0,0.07133717206748923,0.0,1.0,10.663244334534502,36.0,59.0,0.0,10.335756143362977,-0.6426085200692011,-0.41587353021766216
0,0.05050762722761054,0.0,1.0,10.308038129834475,39.0,54.0,0.0,9.488730572706416,-0.59708867062067,-0.4818332256731681
0,0.05050762722761054,0.0,1.0,10.151817135260242,37.0,52.0,0.0,9.384985504533214,-0.6122864161694972,-0.3859917033531408
0,0.05050762722761054,0.0,1.0,10.319697848428726,40.0,54.0,0.0,9.40242135986059,-0.5790593763990874,-0.3298864493887965
0,0.05050762722761054,0.0,1.0,10.20059232971444,40.0,52.0,0.0,9.510728899215527,-0.5629088721733053,-0.29364271608033343
0,0.07133717206748923,0.0,1.0,10.343876073403639,44.0,53.0,0.0,9.89153557951864,-0.5113080964539094,-0.2169003965883216
0,0.07133717206748923,0.0,1.0,10.332787939498276,42.0,53.0,0.0,10.137472712336704,-0.48189952272486014,-0.2992010681710693
0,0.05050762722761054,0.0,1.0,10.237744560981834,41.0,54.0,0.0,10.167119332313915,-0.4581789267012768,-0.225894827043144
