Median3,RMS3,PeakStd3,Std3,Mode3,PeakMean3,PToP3,Mean3,Median6,RMS6,Std6,PeakStd6,Mode6,Mean6,PeakMean6,PToP6,Judgment
79.93056752,30.49544194,607.6498638,931.8464191,-1670.582506,1080.487467,3341.165012,4.110838193,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.92371896,30.49282905,607.5977995,931.7665773,-1670.439368,1080.39489,3340.878736,4.110485976,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.92778529,30.49438045,607.6287126,931.8139833,-1670.524356,1080.449858,3341.048712,4.110695105,42296.95729,47291.38857,2660965.679,1835692.466,2590687.703,-11963.27878,2926244.363,5181375.406,Pass
79.92778529,30.49438045,607.6287126,931.8139833,-1670.524356,1080.449858,3341.048712,4.110695105,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.91815451,30.49070608,607.5554973,931.7017058,-1670.323069,1080.31967,3340.646138,4.110199786,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.92243486,30.49233913,607.5880375,931.7516069,-1670.41253,1080.377531,3340.82506,4.110419938,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.91815451,30.49070608,607.5554973,931.7017058,-1670.323069,1080.31967,3340.646138,4.110199786,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.91815451,30.49070608,607.5554973,931.7017058,-1670.323069,1080.31967,3340.646138,4.110199786,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.91815451,30.49070608,607.5554973,931.7017058,-1670.323069,1080.31967,3340.646138,4.110199786,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.92371896,30.49282905,607.5977995,931.7665773,-1670.439368,1080.39489,3340.878736,4.110485976,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
79.92371896,30.49282905,607.5977995,931.7665773,-1670.439368,1080.39489,3340.878736,4.110485976,42296.55866,47290.94287,2660940.601,1835675.166,2590663.287,-11963.16603,2926216.784,5181326.574,Pass
