,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Median1,Median2,Median3,Median4,Median5,Median6,Median7,Median8,Median9,Std1,Std2,Std3,Std4,Std5,Std6,Std7,Std8,Std9,Mode1,Mode2,Mode3,Mode4,Mode5,Mode6,Mode7,Mode8,Mode9,Kurtosis1,Kurtosis2,Kurtosis3,Kurtosis4,Kurtosis5,Kurtosis6,Kurtosis7,Kurtosis8,Kurtosis9,PToP1,PToP2,PToP3,PToP4,PToP5,PToP6,PToP7,PToP8,PToP9,RMS1,RMS2,RMS3,RMS4,RMS5,RMS6,RMS7,RMS8,RMS9
0,9.331632653061224,1.0,1.9948979591836735,10.22704081632653,15566.775510204081,16341.0,16200.938775510203,16818.428571428572,16438.04081632653,16.0,1.0,2.0,17.0,15110.0,15838.0,16107.5,17049.5,16558.5,14.774943169610589,0.0,0.07133717206748923,13.645567689310223,9475.656571903448,9773.247492380135,9185.781669299427,9618.102266677986,9340.022542422417,17.0,1.0,2.0,17.0,22765.0,17902.0,13295.0,8944.0,4849.0,-0.4029785006578841,-3.0,193.47944773175539,-0.39659962712214547,-1.0940053403667194,-1.305578659306923,-1.1889342638632832,-1.2449325883637592,-1.1397170854306962,48.0,0.0,1.0,46.0,32760.0,32707.0,32425.0,32537.0,32629.0,0.656599153958937,0.050507627227610534,0.10101525445522107,0.656599153958937,1149.806133836554,904.1875426286839,671.4989039910821,451.7402179237487,244.9114844266835
0,8.816326530612244,1.0,2.0,9.693877551020408,16552.191326530614,16476.783163265307,16239.415816326531,16090.864795918367,16449.089285714286,15.0,1.0,2.0,15.0,17248.5,16908.0,16192.5,15884.5,15642.0,14.544646452743518,0.0,0.0,13.475113492931033,9364.006411701674,9402.727870303886,9345.158004877043,9576.828856189944,9404.025270253573,-17.0,1.0,2.0,16.0,26211.0,18788.0,11621.0,4710.0,30823.0,-0.4121695243351837,-3.0,-3.0,-0.36795554567760647,-1.1786956286597778,-1.2001600317738053,-1.1744089778456215,-1.1520230304954033,-1.1710723946149348,47.0,0.0,0.0,54.0,32731.0,32664.0,32495.0,32706.0,32661.0,0.656599153958937,0.050507627227610534,0.10101525445522107,0.656599153958937,1323.8554172629,948.9373003523468,586.949136012062,237.89092424204563,1556.7965940366396
0,7.7729591836734695,1.0,1.9974489795918366,8.339285714285714,16708.216836734693,16284.073979591836,16032.339285714286,16538.155612244896,16464.053571428572,13.0,1.0,2.0,13.0,17163.5,16145.5,16038.5,17153.5,17095.5,14.29295190243381,0.0,0.05050762722761054,14.025176029549382,9639.026408234477,9581.704099467694,9623.695323389538,9567.967200328756,9345.760630595361,-18.0,1.0,2.0,13.0,10472.0,4329.0,31210.0,25579.0,20204.0,-0.4837401840384836,-3.0,391.9999999999998,-0.37209217451804166,-1.253564744903364,-1.2271590537438484,-1.2400361842481045,-1.2282221251203682,-1.2107945425475104,44.0,0.0,1.0,59.0,32307.0,32590.0,32715.0,32620.0,32475.0,0.7071067811865476,0.050507627227610534,0.10101525445522107,0.656599153958937,528.9158723275375,218.64751826832602,1576.343045773725,1291.93459685505,1020.4561005066433
0,7.426020408163265,1.0,1.9974489795918366,7.821428571428571,16477.64030612245,16710.477040816328,16112.619897959185,16272.313775510203,16771.599489795917,12.0,1.0,2.0,12.0,16289.0,16864.5,16334.0,16190.0,16178.5,13.985547398672072,0.0,0.05050762722761054,14.066838986754767,9553.819065016194,9395.945746168645,9397.433098720245,9369.919268637355,9597.792173938618,11.0,1.0,2.0,11.0,21357.0,16494.0,11887.0,7536.0,3441.0,-0.5051084611490855,-3.0,391.99999999999983,-0.42444084257661574,-1.2582063798328376,-1.13993105478852,-1.1706919781547651,-1.2079710778741364,-1.2071849446808272,41.0,0.0,1.0,56.0,32682.0,32671.0,32644.0,32588.0,32684.0,0.656599153958937,0.050507627227610534,0.10101525445522107,0.7071067811865476,1078.6913947000783,833.0728034922082,600.3841648546064,380.62547878727304,173.79674529020787
0,7.298469387755102,1.0,2.0,7.51530612244898,16511.658163265307,16257.964285714286,16260.270408163266,16602.168367346938,16865.698979591838,11.0,1.0,2.0,12.0,15628.5,16258.0,16516.0,16775.0,16779.5,13.815377388355781,0.0,0.0,14.019889795589474,9509.722122090137,9455.26952600839,9233.329313863582,9826.450887566107,9631.095004641937,11.0,1.0,2.0,10.0,11777.0,12034.0,12547.0,13316.0,14341.0,-0.5209633299231844,-3.0,-3.0,-0.39964501213995174,-1.1752227159201065,-1.1827477122960144,-1.1209901933418607,-1.2695790282070853,-1.2493005201401999,43.0,0.0,0.0,60.0,32695.0,32618.0,32642.0,32625.0,32710.0,0.7071067811865476,0.050507627227610534,0.10101525445522107,0.656599153958937,594.8283258595693,607.8087860570652,633.7191988248294,672.5595641628619,724.3298820711627
0,7.170918367346939,1.0,1.9974489795918366,7.403061224489796,16288.099489795919,16816.119897959183,16262.670918367347,15798.038265306122,16926.875,10.0,1.0,2.0,11.0,16256.0,16743.5,16212.0,15214.5,17584.0,13.52534312212907,0.0,0.05050762722761054,13.686134294783932,9343.61034116191,9507.682087590136,9451.455446796743,9523.250688916785,9606.485618092946,10.0,1.0,2.0,10.0,31401.0,9130.0,19883.0,30892.0,9389.0,-0.5402898389637056,-3.0,391.99999999999983,-0.43158421817576587,-1.1574169587604828,-1.2403798068064034,-1.2213309644526873,-1.1713356786918403,-1.2193281215169416,46.0,0.0,1.0,60.0,32270.0,32562.0,32451.0,32726.0,32696.0,0.7071067811865476,0.050507627227610534,0.10101525445522107,0.7071067811865476,1585.9900025741986,461.1346365880842,1004.2431521665803,1560.2816203153448,474.21611204003534
0,7.130102040816326,1.0,2.0,7.260204081632653,16672.630102040817,16416.977040816328,16166.548469387755,16422.895408163266,15932.140306122448,10.0,1.0,2.0,10.0,17090.5,16499.0,15717.5,16467.5,15111.0,12.93524743004623,0.0,0.0,13.075959392134113,9444.250941441718,9211.514161793608,9314.38602379149,9288.73091999774,9983.223757460164,10.0,1.0,2.0,10.0,1341.0,16958.0,63.0,16192.0,32577.0,-0.5478440868230723,-3.0,-3.0,-0.4600981132196753,-1.205865599632138,-1.1052666637312794,-1.2324812065690545,-1.172266553869984,-1.300383387504427,43.0,0.0,0.0,55.0,32671.0,32687.0,32653.0,32602.0,32646.0,0.7576144084141581,0.050507627227610534,0.10101525445522107,0.656599153958937,67.73072811222573,856.5083425258194,3.181980515339464,817.8195000694698,1645.3869721938684
0,7.160714285714286,1.0,1.9948979591836735,7.3979591836734695,16430.897959183672,16484.14285714286,16291.836734693878,16522.714285714286,17093.183673469386,10.0,1.0,2.0,10.0,15960.5,16375.0,15700.5,16278.5,18048.0,12.540968668355125,0.0,0.07133717206748923,12.59073649318359,9255.96598369675,9347.540327208968,9757.43214426842,9628.961963319234,9625.786601102423,10.0,1.0,2.0,10.0,6604.0,26061.0,13006.0,207.0,20432.0,-0.5095369969843366,-3.0,193.47944773175539,-0.4016262869719487,-1.174401200548778,-1.1273979229541364,-1.2491050610820964,-1.2145534168255137,-1.1749500686871932,45.0,0.0,1.0,60.0,32548.0,32648.0,32689.0,32503.0,32602.0,0.7576144084141581,0.050507627227610534,0.10101525445522107,0.7071067811865476,333.55237021114,1316.279273178758,656.9021997223026,10.455078836115382,1031.9718395145385
0,7.262755102040816,1.0,1.9974489795918366,7.426020408163265,15428.405612244898,16222.875,16437.426020408162,16490.01785714286,16965.793367346938,10.0,1.0,2.0,10.0,14817.5,17087.0,16317.0,17050.5,17473.5,11.892306204672952,0.0,0.05050762722761054,11.927729367166238,9283.918192987596,9653.883679874109,9661.29601053651,9428.673459144124,8942.845076201309,9.0,1.0,2.0,9.0,19818.0,14187.0,8812.0,3693.0,31598.0,-0.5044792354813379,-3.0,391.9999999999998,-0.43490911992900605,-1.1609671257179208,-1.2379052182085304,-1.2404195274922876,-1.1712425763895509,-1.059181659526183,46.0,0.0,1.0,58.0,32660.0,32663.0,32715.0,32481.0,32387.0,0.7071067811865476,0.050507627227610534,0.10101525445522107,0.656599153958937,1000.9601563967856,716.5517074781106,445.0732111297041,186.5246673515657,1595.9400051380378
0,7.3979591836734695,1.0,2.0,7.653061224489796,16933.964285714286,16455.617346938776,16484.04591836735,16768.474489795917,16138.617346938776,9.0,1.0,2.0,9.0,16916.0,16623.0,16642.0,16797.5,15841.5,11.110917002787442,0.0,0.0,10.831517940079662,9485.341616102649,9232.48642967722,9441.457263107379,9483.543024959235,9573.006554504616,9.0,1.0,2.0,8.0,30944.0,22753.0,14818.0,7139.0,32484.0,-0.512965912844606,-3.0,-3.0,-0.5133025838297582,-1.2087784327322464,-1.1557554735748732,-1.247037557742291,-1.2149093247045937,-1.2323846618865626,45.0,0.0,0.0,54.0,32723.0,32580.0,32508.0,32754.0,32674.0,0.7576144084141581,0.050507627227610534,0.10101525445522107,0.7071067811865476,1562.9080169311806,1149.2000423098225,748.422020258733,360.57395077791165,1640.6897628617007
0,7.573979591836735,1.0,1.9974489795918366,7.908163265306122,16392.227040816328,15991.594387755102,15596.186224489797,17212.206632653062,17161.61479591837,10.0,1.0,2.0,9.0,16605.0,16215.0,15397.0,17622.0,17673.5,10.518994461468305,0.0,0.05050762722761054,10.144568032025635,8787.782287730843,8941.429706894998,9335.718560558587,9883.172663074345,9681.958956475184,9.0,1.0,2.0,8.0,2134.0,24151.0,13656.0,3417.0,26202.0,-0.4774778239733024,-3.0,391.99999999999983,-0.3989358705521431,-1.0636481190071403,-1.085599667530979,-1.1325146223153182,-1.2814978735387605,-1.2307374156568995,46.0,0.0,1.0,57.0,32581.0,32466.0,32661.0,32639.0,32712.0,0.7576144084141581,0.050507627227610534,0.10101525445522107,0.7071067811865476,107.78327650372088,1219.8097051740222,689.7321574202495,172.5845622367452,1323.4008486178514
