,Std3,Std2,Mean2,Std1,PToP1,PToP4,PToP2,Std4,Kurtosis1,Kurtosis4
0,0.0,0.0,1.0,10.27643302623394,-1.0,17.0,2.0,9.207794216107642,-0.45755246859144716,-0.5054621116061182
0,0.0,0.0,1.0,10.30521878780562,-1.0,17.0,2.0,9.224483071706123,-0.46058906800433297,-0.5115530173115936
0,0.0,0.0,1.0,10.328443860230799,-1.0,17.0,2.0,9.238544881206511,-0.46156509517273525,-0.5166177917816817
0,0.0,0.0,1.0,10.349531114093635,-1.0,17.0,2.0,9.241346160114997,-0.46305932709100706,-0.5175961517296406
0,0.0,0.0,1.0,10.374509209616413,-1.0,17.0,2.0,9.263068940323882,-0.4627562522534969,-0.5237485478358264
0,0.0,0.0,1.0,10.404537012853233,-1.0,17.0,2.0,9.278527621588387,-0.46462849913958415,-0.5280184492083273
0,0.0,0.0,1.0,10.41705636362011,-1.0,17.0,2.0,9.280468215613011,-0.46331153027102223,-0.5305435772646505
0,0.0,0.0,1.0,10.450789660350404,-1.0,17.0,2.0,9.302047467502943,-0.4634428161409825,-0.5359910130970729
0,0.0,0.0,1.0,10.466301720429357,-1.0,17.0,2.0,9.309384880973035,-0.4628424388986234,-0.538630865230084
0,0.0,0.0,1.0,10.487410675389503,-1.0,17.0,2.0,9.323135055799275,-0.4626947174596352,-0.5418879821505502
0,0.0,0.0,1.0,10.509634151296513,-1.0,17.0,2.0,9.34344655050763,-0.4616052663285002,-0.547083152323733
0,0.0,0.0,1.0,10.531590306621178,-1.0,17.0,2.0,9.348532961330557,-0.46100205277486106,-0.5490465300655454
0,0.0,0.0,1.0,10.541728256088815,-2.0,17.0,2.0,9.404867423199047,-0.4644564610842483,-0.5785779681654311
0,0.0,0.0,1.0,10.553988560541232,-2.0,17.0,2.0,9.408178213633873,-0.45901219688177575,-0.5737515535754993
0,0.0,0.0,1.0,10.560933681153347,-2.0,17.0,2.0,9.414006389213393,-0.4574071134791673,-0.5811100942566396
0,0.0,0.0,1.0,10.569926790237188,-2.0,17.0,2.0,9.421954039153922,-0.4626470079893812,-0.5896722119126587
0,0.0,0.0,1.0,10.576883765777465,-2.0,17.0,2.0,9.423638241260345,-0.45923639584907994,-0.5921933427463406
0,0.0,0.0,1.0,10.585977929158796,-2.0,17.0,2.0,9.429622379234756,-0.4604158879489244,-0.5981364378712497
0,0.0,0.0,1.0,10.593061177542346,-2.0,17.0,2.0,9.433543887569867,-0.4570889102354183,-0.5996342643260721
0,0.0,0.0,1.0,10.595488877338624,-2.0,17.0,2.0,9.436417929657951,-0.4543902397453734,-0.6049588815218669
0,0.0,0.0,1.0,10.607688900390263,-2.0,17.0,2.0,9.446091493378558,-0.4541550109173018,-0.6127234508771537
0,0.0,0.0,1.0,10.61597342360112,-2.0,17.0,2.0,9.449564112635796,-0.4468589271792087,-0.6113140212032726
0,0.0,0.0,1.0,10.616660935018205,-2.0,17.0,2.0,9.453448213575955,-0.45154757041306226,-0.6247220333098809
0,0.0,0.0,1.0,10.62990336567758,-2.0,17.0,2.0,9.459710202878005,-0.4484091665835579,-0.6228341610689943
0,0.0,0.0,1.0,10.634358450069607,-2.0,17.0,2.0,9.461769581428207,-0.4454794851793933,-0.6272961259538068
0,0.0,0.0,1.0,10.642041752370208,-2.0,17.0,2.0,9.468759530323114,-0.4463493718581226,-0.6332987676302602
0,0.0,0.0,1.0,10.656645318696144,-2.0,17.0,2.0,9.474562898666873,-0.44205816468640746,-0.6292400977573469
0,0.0,0.0,1.0,10.658115342341986,-2.0,17.0,2.0,9.476639809490747,-0.4383469934939699,-0.6336867182965142
0,0.0,0.0,1.0,10.669903887744406,-2.0,17.0,2.0,9.484588214619118,-0.43876816370134897,-0.6357085475363089
0,0.0,0.0,1.0,10.677401313664149,-2.0,17.0,2.0,9.487229751751329,-0.43148347947385046,-0.6342837174070493
0,0.0,0.0,1.0,10.677726207995608,-2.0,17.0,2.0,9.492319947002457,-0.4307691293828575,-0.6487987586803063
0,0.0,0.0,1.0,10.684218337193329,-2.0,17.0,2.0,9.498648823081478,-0.433695702081633,-0.6564261735442667
0,0.0,0.0,1.0,10.650090200253056,-2.0,10.0,2.0,9.454773771242829,-0.4276629625391646,-0.6942496959926157
0,0.0,0.0,1.0,10.672357120399624,3.0,10.0,2.0,9.518101457801723,-0.4884156543630618,-0.6661445727711182
0,0.0,0.0,1.0,10.714489041848749,3.0,8.0,2.0,9.62093674054106,-0.483940783402673,-0.617719252487257
0,0.0,0.0,1.0,10.776263922261625,3.0,8.0,2.0,9.732956791141262,-0.47461038867177896,-0.5746054415655397
0,0.0,0.0,1.0,10.847305819595894,3.0,8.0,2.0,9.859729701578175,-0.4644660372943554,-0.5379761739542426
0,0.0,0.0,1.0,10.895869934894609,3.0,8.0,2.0,9.916389926102276,-0.4670505638991118,-0.5380362623201354
