,Mean2,Std1,Mean1,Std2,Median1,Std3,Kurtosis1,Kurtosis4
31,1.0,10.132469839031604,7.816326530612245,0.0,10.0,0.0505076272276105,-0.4515222600275668,-0.4961907953443831
32,1.0,9.933910477690928,7.831632653061225,0.0,11.0,0.0505076272276105,-0.4797568572509645,-0.4527651772204861
33,1.0,10.240693485748595,7.732142857142857,0.0,12.0,0.0505076272276105,-0.44868935757659,-0.4171389458313648
34,1.0,10.405480100802194,7.681122448979591,0.0,12.0,0.0,-0.4805998805257885,-0.4351207473099463
35,1.0,10.66943358318819,7.658163265306122,0.0,13.0,0.0,-0.5396802005532662,-0.323001271914785
36,1.0,11.63167820825497,7.145408163265306,0.0,14.0,0.0505076272276105,-0.4979502585420068,-0.3775119478718456
37,1.0,12.412436664705334,6.846938775510204,0.0,14.0,0.0505076272276105,-0.4820228909667783,-0.2608314429900025
38,5.0688775510204085,63.390182651080906,24.306122448979597,4.286164115961692,14.0,15.884956039710255,9.494019307033494,9.825322005179746
39,1.104591836734694,14.282460124432795,5.533163265306122,0.3064178594467401,13.0,0.0,-0.4660479053094133,-0.3112511333415533
40,1.0,14.452898240508668,5.061224489795919,0.0,13.0,0.0505076272276105,-0.5076683663376782,-0.3842338367582893
41,1.0,14.515182984874803,4.785714285714286,0.0,13.0,0.0,-0.5331660395343425,-0.4389757708735926
42,1.0,14.040394319045,4.410714285714286,0.0,12.0,0.0505076272276105,-0.52377659009634,-0.5044101910581258
43,1.0,13.47948757022319,4.369897959183674,0.0,12.0,0.0,-0.5597534968447073,-0.4885943119656248
44,1.0,12.735081856057068,4.14030612244898,0.0,11.0,0.0,-0.5655200410568639,-0.4551173155617065
45,1.0,11.837500127111126,3.788265306122449,0.0,10.0,0.0,-0.571780047882978,-0.4426627442543425
46,1.0,11.071003680840072,3.5255102040816326,0.0,10.0,0.0,-0.6160507563820641,-0.3856699666005907
47,1.0,10.663244334534502,3.216836734693877,0.0,9.0,0.0713371720674892,-0.6426085200692011,-0.4158735302176621
48,1.0,10.308038129834475,2.510204081632653,0.0,8.0,0.0505076272276105,-0.59708867062067,-0.4818332256731681
49,1.0,10.151817135260242,2.1658163265306123,0.0,7.0,0.0505076272276105,-0.6122864161694972,-0.3859917033531408
50,1.0,10.319697848428726,1.7142857142857142,0.0,6.0,0.0505076272276105,-0.5790593763990874,-0.3298864493887965
51,1.0,10.20059232971444,1.3801020408163265,0.0,5.0,0.0505076272276105,-0.5629088721733053,-0.2936427160803334
52,1.0,10.34387607340364,1.0408163265306123,0.0,5.0,0.0713371720674892,-0.5113080964539094,-0.2169003965883216
53,1.0,10.332787939498276,1.076530612244898,0.0,5.0,0.0713371720674892,-0.4818995227248601,-0.2992010681710693
54,1.0,10.237744560981834,1.2933673469387754,0.0,6.0,0.0505076272276105,-0.4581789267012768,-0.225894827043144
55,4.0,56.623628350656745,17.252551020408163,4.261287103087055,7.0,14.463962860125244,9.25085314584182,9.29773792209307
56,6.908163265306122,76.3075746376104,31.556122448979597,4.743738335455609,8.0,14.99026751611203,3.7449942377032457,3.709824027126971
57,1.2372448979591837,9.836801832176224,2.673469387755102,0.4715329099226723,7.0,0.0,-0.4062521190099684,0.0220840190075812
58,1.0,9.822268373435495,3.744897959183673,0.0,8.0,0.0505076272276105,-0.4689371038610539,0.2936841771397587
59,1.0,9.593776567558102,4.426020408163265,0.0,8.0,0.0,-0.5241241431871844,0.1773161878401632
60,5.706632653061225,91.9414556584482,32.46173469387755,7.173277840338093,8.0,18.27839109814654,4.58667142004275,4.5634128515211705
61,7.826530612244898,88.01769388639525,38.525510204081634,6.389770453560001,8.0,16.927578211846164,3.848621945139191,3.8895663369972144
62,5.280612244897959,59.665074163632106,25.318877551020407,3.831866870895845,9.0,12.715570323004858,6.2126332815377605,6.3591946068372245
63,5.048469387755102,59.8971929545731,23.711734693877556,4.109772235813384,9.0,11.850947391182864,7.9893954873626996,8.179837544807778
64,4.038265306122449,49.52429473328491,18.68622448979592,3.3448154408763298,9.0,13.123029156919278,13.581766931426394,14.11469600937361
65,1.0,12.609644133087528,7.165816326530612,0.0,9.0,0.0505076272276105,-0.7382763678281683,-0.5043250945112914
66,3.0255102040816326,37.55026695177672,14.153061224489797,2.429436326464585,9.0,11.668940770908224,17.988876511215505,19.196474139922262
67,2.7346938775510203,55.43499169705192,0.7576530612244898,2.2425826379749227,10.0,11.783841371982035,8.727785240332555,9.046173442510998
68,6.482142857142857,65.54730496649728,21.03061224489796,3.8421125236647193,10.0,15.551103272310424,14.4220729373261,14.73440827786079
69,3.3239795918367347,43.50423544608646,13.885204081632653,2.793788594468072,11.0,12.206437758910187,17.55938608341671,18.50215648176349
70,4.229591836734694,61.21208933695922,20.20408163265306,4.189054283732302,11.0,17.934987068761345,10.565840772698886,10.788544936594676
71,1.635204081632653,16.730749996908482,6.262755102040816,0.9817180301517262,12.0,5.698661046348998,-0.5142277045964878,-0.5737073876914316
72,1.0,16.31478741757335,6.369897959183674,0.0,13.0,0.0505076272276105,-0.5177346596932306,-0.5721353923564245
73,1.0,15.876965222867248,6.594387755102041,0.0,13.0,0.0,-0.4838945157538767,-0.5300051591659223
74,1.0,15.5154491146634,6.86734693877551,0.0,14.0,0.0,-0.4989879807190722,-0.5023596267407031
75,1.0,14.324095089775335,7.293367346938775,0.0,14.0,0.0505076272276105,-0.498147637143854,-0.4565403300806379
76,1.0,14.12941880459064,7.538265306122449,0.0,15.0,0.0,-0.5057951406357906,-0.4578408286137261
77,1.0,13.622821561245104,7.566326530612245,0.0,15.0,0.0,-0.5288497749430121,-0.4737666740388242
78,1.0,13.536261717436906,7.451530612244898,0.0,15.0,0.0,-0.504861248417328,-0.4751299194022271
79,4.1479591836734695,52.7044323547124,19.387755102040817,3.5864972572601923,15.0,17.4167440117663,16.32033487955642,16.69689278451447
80,3.63265306122449,83.28378744862455,-8.252551020408163,5.816262156680488,14.0,19.9978806160836,26.72414401856362,26.9635113362728
81,3.25,13.35220318611403,6.857142857142857,2.8578871883938453,13.5,23.395629906485265,-0.478660934276697,-0.4146726974335797
82,1.0,13.449206387775616,6.561224489795919,0.0,13.0,0.0,-0.4764844491098148,-0.3845776790775592
83,1.0,13.107296293997072,6.433673469387755,0.0,12.0,0.0,-0.4688125861470951,-0.406153959525303
84,1.0,12.880774115855228,6.405612244897959,0.0,11.0,0.0505076272276105,-0.4807420202940342,-0.4145987265618602
85,1.0,12.548408015088503,6.323979591836735,0.0,10.5,0.0505076272276105,-0.4761299422336238,-0.4010915076635886
86,4.196428571428571,82.36618997979494,-6.747448979591836,6.028040827236803,10.0,15.53294157997905,12.77858049989295,12.698562465104542
87,7.36734693877551,76.59738543244399,29.540816326530614,4.856798973405472,15.0,17.38524126559469,7.347285838421758,7.410326485559949
88,1.0714285714285714,14.08824217260486,7.650510204081633,0.2578685007573908,15.0,0.0505076272276105,-0.5220436006506253,-0.503184241346669
89,5.1479591836734695,64.88019428629094,23.831632653061224,4.4236687183011405,15.0,14.191773703001486,10.2040095686455,10.35698325005482
90,4.112244897959184,49.455053125110425,21.971938775510203,3.423650713179757,15.0,12.18983476554351,6.851201958150021,7.016777204204505
91,1.0918367346938775,13.451571335231272,7.063775510204081,0.2891644084559841,14.0,0.0505076272276105,-0.4962753737871304,-0.4529081321786137
92,1.0,13.288257836749167,7.1020408163265305,0.0,14.0,0.0505076272276105,-0.4947532097366713,-0.4417207982664157
93,1.0,13.114610398254742,6.806122448979592,0.0,13.0,0.0,-0.4882447632211537,-0.4410216083303115
94,1.0,12.893291194516973,6.558673469387755,0.0,11.0,0.0,-0.4983841628954053,-0.448209683718217
95,1.0,12.72853691171688,6.400510204081633,0.0,11.0,0.0,-0.4957673120817327,-0.4419058632357977
96,5.599489795918367,69.61592379901836,25.540816326530614,4.814226545628299,11.0,14.81905913155583,9.068740366829788,9.074909233730224
97,1.0,11.794225566779671,6.533163265306122,0.0,10.0,0.0,-0.4770923343177271,-0.4267144342894409
98,1.0,11.35454192924057,6.6020408163265305,0.0,10.0,0.0,-0.4686380920137192,-0.4144752651982881
99,1.0,10.989590517587338,6.75,0.0,10.0,0.0505076272276105,-0.4547472542874198,-0.3970567106937945
100,1.0,10.252600339269597,6.89030612244898,0.0,10.0,0.0,-0.3675361372409678,-0.3598455048965783
101,1.0,10.07676023697756,6.966836734693878,0.0,10.0,0.0505076272276105,-0.4321930558267977,-0.3518652935161133
102,1.0,10.031392541274396,7.053571428571429,0.0,10.0,0.0,-0.3501074071819423,-0.3126254533086645
103,1.0,10.097446550935562,7.025510204081633,0.0,10.0,0.0,-0.3275417146368329,-0.2620278193017125
104,7.762755102040816,82.96526963811775,36.29336734693877,4.810191712204208,10.0,17.934913585509495,5.841128636363017,6.00037581585039
105,1.4464285714285714,10.645995680068763,6.823979591836735,0.7447600413432409,10.0,0.0,-0.3936897221789102,-0.3041208639314319
106,1.0,11.375463183491414,6.323979591836735,0.0,11.0,0.0505076272276105,-0.5768928066887926,-0.3057048791632235
107,1.0,12.041769855536971,6.191326530612245,0.0,11.0,0.0,-0.6031204461379467,-0.321553464137235
108,1.0,12.794627376032832,5.704081632653061,0.0,11.0,0.0,-0.6394657638999433,-0.3958490062386994
109,1.0,14.169505190451828,4.74234693877551,0.0,12.0,0.0,-0.6469727504102951,-0.4432283161429931
110,1.0,14.607440437799116,4.561224489795919,0.0,12.0,0.0,-0.7229099795878229,-0.5362921549667456
111,3.510204081632653,49.02496032854923,15.29591836734694,3.528459081193366,12.0,13.61030501799325,11.182779459363491,11.463923796116426
112,1.4107142857142858,14.553486055414858,3.959183673469388,0.6876235066928135,12.0,0.0,-0.8372529380452725,-0.77760871631763
113,1.0,14.29045203681333,3.926020408163265,0.0,11.0,0.0505076272276105,-0.8354610530585918,-0.8166607334645768
114,1.0,13.69045334199827,3.920918367346939,0.0,10.0,0.0505076272276105,-0.8661995924281323,-0.8440032239620283
115,1.0,13.009677527879155,3.8520408163265305,0.0,8.0,0.0,-0.9014449615714132,-0.8138988232914546
116,1.0,12.629432968973852,3.8443877551020407,0.0,7.0,0.0,-0.883460002332157,-0.8313347546602996
117,1.0,12.172250257865276,3.747448979591837,0.0,6.0,0.0713371720674892,-0.8348327937917466,-0.8793901024052238
118,1.0,11.935408002844872,3.4642857142857144,0.0,5.0,0.0505076272276105,-0.838831810536389,-0.7728126974771827
119,1.0,11.8473353380163,3.4056122448979598,0.0,4.0,0.0505076272276105,-0.8148030565322202,-0.7945979134968955
120,1.0,12.000878580151864,3.2755102040816326,0.0,4.0,0.0,-0.7865238424073291,-0.762660707618017
121,1.0,12.264068404044917,3.14030612244898,0.0,4.0,0.0,-0.8085944557625053,-0.7223414620682145
122,1.0,12.33914933009169,3.163265306122449,0.0,4.0,0.0505076272276105,-0.8298612073150893,-0.7716102643787677
123,1.0,12.461280655700886,3.4260204081632653,0.0,4.0,0.0713371720674892,-0.8350051297058179,-0.8094971478655912
124,1.0,12.466015182360971,3.928571428571429,0.0,5.5,0.0505076272276105,-0.8380586027714383,-0.8357405702394143
125,1.0,12.379266880530515,4.60969387755102,0.0,7.0,0.0,-0.7886866208198766,-0.8322751214321391
126,1.0,12.158898901031948,5.448979591836735,0.0,9.0,0.0505076272276105,-0.7206364119620652,-0.7977088019679504
127,1.0,12.045308437203106,6.50765306122449,0.0,10.0,0.0,-0.6623457373496953,-0.7140053834515694
128,1.0,11.983629028178584,7.301020408163265,0.0,12.0,0.0713371720674892,-0.5745091264786848,-0.6640647817491585
129,1.0,11.686105180195094,8.012755102040817,0.0,13.0,0.0713371720674892,-0.5264043530023641,-0.5287123398188176
130,1.0,11.585473012619914,9.193877551020408,0.0,14.0,0.0,-0.4723172507536821,-0.3605586440778907
131,1.0,11.75233284781064,9.767857142857142,0.0,15.0,0.0,-0.4310417508339412,-0.2794194770979135
132,1.0,11.96786151637018,10.346938775510203,0.0,16.0,0.0,-0.4049260006449602,-0.1555611731952377
133,1.0,12.452810870026225,10.959183673469388,0.0,17.0,0.0505076272276105,-0.3829350051142182,-0.1724583265947861
